,PC1,PC2,PC3
loan_amnt,0.5122082831013125,-0.17737953298228304,-0.21030132256219178
term_months,0.44463179694761495,0.2987722350111662,-0.23746767753788545
revol_bal,0.4081327129777992,-0.3478306353112639,0.12934056797688626
int_rate,0.29895325394337946,0.5604441936327114,-0.17263716040322613
open_acc,0.26998090578054174,-0.19700297220022944,0.5891649259640038
revol_util,0.26819242841066465,0.18515733146269014,-0.16991945845523374
annual_inc,0.25050043364155133,-0.5121784759517332,-0.27982870045079883
dti,0.24443876058521807,0.3148043565651705,0.6149399696825869
pub_rec,-0.12914251043270164,0.0982280598441156,-0.14270696227652369
delinq_2yrs,0.002109347006084446,-0.004132008744349799,-0.006434814480380392
