grade,term_months,N,m1_mean,m1_median,m2_mean,m2_median,m3_mean,m3_median,m1_p25,m1_p75,m1_std,m1_pos_share,m2_p25,m2_p75,m2_std,m2_pos_share,m3_p25,m3_p75,m3_std,m3_pos_share,default_share
A,36.0,105465.0,0.019846397971091032,0.028833824523152682,0.019846397971091032,0.028833824523152682,0.018277714422777872,0.025211783120548503,0.02081678018018014,0.034566976767891645,0.03913623912328525,0.9426160337552743,0.02081678018018014,0.034566976767891645,0.03913623912328525,0.9426160337552743,0.020632170193783717,0.028437269954912026,0.03399729736822409,0.9526857251220784,0.05413170246053193
A,60.0,3979.0,0.023831639448577822,0.033669471715240026,0.023831639448577822,0.033669471715240026,0.025912551358272994,0.03773978035605574,0.020816328513150836,0.039876811827410014,0.031399212600841185,0.9351595878361397,0.020816328513150836,0.039876811827410014,0.031399212600841185,0.9351595878361397,0.02606366050615827,0.04319554426489891,0.043602970112750744,0.9399346569489822,0.07237999497361146
B,36.0,145243.0,0.023836568902091484,0.04236100490909274,0.023836568902091484,0.04236100490909274,0.01830549957812432,0.03275832884306662,0.026017004384238412,0.052097504622265804,0.06029631815891674,0.8907692625462157,0.026017004384238412,0.052097504622265804,0.06029631815891674,0.8907692625462157,0.023612044679645394,0.03805668088666725,0.050845673007486644,0.9019918343741179,0.11471120811329978
B,60.0,34298.0,0.025931047134309628,0.04134650874468852,0.025931047134309628,0.04134650874468852,0.024649670580091737,0.0444707301146694,0.02150857093750001,0.052241382702464215,0.04659065914786928,0.876115225377573,0.02150857093750001,0.052241382702464215,0.04659065914786928,0.876115225377573,0.026706181655826777,0.053734835075592735,0.06272026596157927,0.88451221645577,0.14097031896903608
C,36.0,121499.0,0.021946145229029174,0.05637876161075565,0.021946145229029174,0.05637876161075565,0.013991632753091636,0.040352590635672536,0.021401821165811838,0.06765665683992428,0.08124961586889573,0.8307640392101993,0.021401821165811838,0.06765665683992428,0.08124961586889573,0.8307640392101993,0.02096915581508152,0.04630543766881157,0.06775168833508105,0.8430028230685026,0.18631429065259797
C,60.0,65633.0,0.026977381198669496,0.05054126355666431,0.026977381198669496,0.05054126355666431,0.021490845653395988,0.05231054519591116,0.014536111428571445,0.06916092241989875,0.06220565304034939,0.8101260036871696,0.014536111428571445,0.06916092241989875,0.06220565304034939,0.8101260036871696,0.020159670375821337,0.06750636062000415,0.07976400658703056,0.8177441226212424,0.22345466457422333
D,36.0,53250.0,0.020213962368621535,0.06353791592039801,0.020213962368621535,0.06353791592039801,0.009366675544781293,0.04414714106924078,0.009464078469281666,0.08537883687031864,0.09889238804955112,0.779887323943662,0.009464078469281666,0.08537883687031864,0.09889238804955112,0.779887323943662,0.014003100398458534,0.055394661093165265,0.08314149545734704,0.7929765258215963,0.24661032863849766
D,60.0,52396.0,0.025136820259156797,0.051668156871935295,0.025136820259156797,0.051668156871935295,0.014690789216528916,0.05325547055265467,-0.002644846915201198,0.08623146568436903,0.07666469083829987,0.7447324223223147,-0.002644846915201198,0.08623146568436903,0.07666469083829987,0.7447324223223147,0.0032698562801377618,0.08071590904457654,0.09721575820764493,0.7531872662035269,0.307828841896328
E,36.0,16516.0,0.016807567898848286,0.06606114711641978,0.016807567898848286,0.06606114711641978,0.003841441771333851,0.04547147479903757,-0.02186537378341167,0.09971973576634757,0.11375583816017779,0.7335311213368855,-0.02186537378341167,0.09971973576634757,0.11375583816017779,0.7335311213368855,-0.00524886729224977,0.06252706226049365,0.0952995011684911,0.7449745701138291,0.3035238556551223
E,60.0,38553.0,0.01972914914435755,0.04229029000000001,0.01972914914435755,0.04229029000000001,0.00521689666989516,0.045286332216585734,-0.046096976,0.09639334393704971,0.08688437081444408,0.6865094804554769,-0.046096976,0.09639334393704971,0.08688437081444408,0.6865094804554769,-0.045408637348624326,0.08828278443103144,0.10963629772450122,0.6982595388166939,0.3741083702954375
F,36.0,3343.0,0.021411028292673565,0.0736190502283105,0.021411028292673565,0.0736190502283105,0.003056049598172765,0.049398635967936144,-0.06108147885829031,0.12834365763357106,0.1290624752485129,0.7053544720311098,-0.06108147885829031,0.12834365763357106,0.1290624752485129,0.7053544720311098,-0.031664312242474735,0.07621594505266394,0.10582727519710908,0.717319772659288,0.3475919832485791
F,60.0,12697.0,0.014111764084668472,0.030939619443192873,0.014111764084668472,0.030939619443192873,-0.006058078933420656,0.035303682985281526,-0.0773400182857143,0.10138593760000002,0.09908931277852309,0.6299913365361897,-0.0773400182857143,0.10138593760000002,0.09908931277852309,0.6299913365361897,-0.08776097124570625,0.09192464124642186,0.12354951262738374,0.6420414271087659,0.43908009766086475
G,36.0,427.0,0.00482561990147971,0.055320854194241695,0.00482561990147971,0.055320854194241695,-0.011331605324785193,0.03978715078808004,-0.13425447166666665,0.14009039908523854,0.1444347878287681,0.6276346604215457,-0.13425447166666665,0.14009039908523854,0.1444347878287681,0.6276346604215457,-0.09042923585335844,0.08163745989392324,0.11525393301705925,0.6416861826697893,0.41920374707259955
G,60.0,3425.0,0.008771769191615823,0.022075697813121246,0.008771769191615823,0.022075697813121246,-0.014382402749234472,0.027231377828284664,-0.09086276880093133,0.09474776947732151,0.10379000741808103,0.5962043795620438,-0.09086276880093133,0.09474776947732151,0.10379000741808103,0.5962043795620438,-0.1088256949713543,0.0870716635950719,0.1314737371908209,0.6102189781021898,0.47854014598540145
